task_id,source_system,department,section_id,section_name,zone_code,defect_type,defect_description,criticality,reported_date,due_date,estimated_duration,location_km,recurrence_count,inspection_gap_days,import_source
TDMS-0014,TDMS,Traction Distribution,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on New Delhi - Hazrat Nizamuddin,high,2026-09-13,2026-09-26,90,1.8,1,60,data.gov.in
TMS-0015,TMS,Engineering,AMB-CDG,Ambala - Chandigarh,NR,CMS Crossing Reconditioning,Trans-weld building up of battered nose on Cast Manganese Steel crossing on Ambala - Chandigarh,medium,2026-09-10,2026-09-19,135,23.4,0,15,data.gov.in
TMS-0016,TMS,Engineering,AMB-CDG,Ambala - Chandigarh,NR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Ambala - Chandigarh,critical,2026-09-13,2026-10-08,150,8.0,2,15,data.gov.in
TMS-0017,TMS,Engineering,AMB-CDG,Ambala - Chandigarh,NR,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Ambala - Chandigarh,high,2026-09-05,2026-09-29,210,44.8,1,15,data.gov.in
SMMS-0018,SMMS,Signal & Telecom,AMB-CDG,Ambala - Chandigarh,NR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Ambala - Chandigarh,critical,2026-09-07,2026-09-15,75,13.9,0,60,data.gov.in
SMMS-0019,SMMS,Signal & Telecom,AMB-CDG,Ambala - Chandigarh,NR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Ambala - Chandigarh,high,2026-09-09,2026-09-30,105,34.5,0,45,data.gov.in
TDMS-0020,TDMS,Traction Distribution,AMB-CDG,Ambala - Chandigarh,NR,Cantilever Assembly Replacement,Galvanized steel cantilever bracket corrosion detected during trolley inspection on Ambala - Chandigarh,high,2026-09-06,2026-09-16,105,24.7,0,45,data.gov.in
TDMS-0021,TDMS,Traction Distribution,AMB-CDG,Ambala - Chandigarh,NR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Ambala - Chandigarh,high,2026-09-17,2026-09-25,90,41.9,1,30,data.gov.in
TMS-0022,TMS,Engineering,LKO-BSB,Lucknow - Varanasi,NR,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Lucknow - Varanasi,medium,2026-08-30,2026-09-06,135,25.3,2,15,data.gov.in
TMS-0023,TMS,Engineering,LKO-BSB,Lucknow - Varanasi,NR,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Lucknow - Varanasi,critical,2026-09-13,2026-09-22,90,188.4,0,45,data.gov.in
SMMS-0024,SMMS,Signal & Telecom,LKO-BSB,Lucknow - Varanasi,NR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Lucknow - Varanasi,high,2026-08-31,2026-09-11,90,203.5,2,45,data.gov.in
SMMS-0025,SMMS,Signal & Telecom,LKO-BSB,Lucknow - Varanasi,NR,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Lucknow - Varanasi,medium,2026-09-01,2026-09-20,90,35.4,0,15,data.gov.in
SMMS-0026,SMMS,Signal & Telecom,LKO-BSB,Lucknow - Varanasi,NR,Automatic Signaling Aspect Renewal,Signal LED cluster degradation on home signal aspect on Lucknow - Varanasi,high,2026-09-17,2026-10-10,60,158.3,0,15,data.gov.in
TDMS-0027,TDMS,Traction Distribution,LKO-BSB,Lucknow - Varanasi,NR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Lucknow - Varanasi,critical,2026-09-10,2026-09-17,90,258.1,1,15,data.gov.in
TDMS-0028,TDMS,Traction Distribution,LKO-BSB,Lucknow - Varanasi,NR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on Lucknow - Varanasi,critical,2026-09-09,2026-09-29,120,61.8,0,60,data.gov.in
TMS-0029,TMS,Engineering,GZB-CNB,Ghaziabad - Kanpur,NCR,Bridge Bearing Inspection & Greasing,Girder seating rocker-roller bearing lubrication on Ghaziabad - Kanpur,medium,2026-09-04,2026-09-15,120,42.3,2,45,data.gov.in
TMS-0030,TMS,Engineering,GZB-CNB,Ghaziabad - Kanpur,NCR,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Ghaziabad - Kanpur,high,2026-09-04,2026-09-23,210,379.4,0,15,data.gov.in
SMMS-0031,SMMS,Signal & Telecom,GZB-CNB,Ghaziabad - Kanpur,NCR,Electronic Interlocking Diagnostic,Dual redundant EI system power supply unit card replacement on Ghaziabad - Kanpur,critical,2026-09-07,2026-09-15,90,109.9,0,60,data.gov.in
SMMS-0032,SMMS,Signal & Telecom,GZB-CNB,Ghaziabad - Kanpur,NCR,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on Ghaziabad - Kanpur,high,2026-09-04,2026-09-14,90,123.0,0,15,data.gov.in
TDMS-0033,TDMS,Traction Distribution,GZB-CNB,Ghaziabad - Kanpur,NCR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Ghaziabad - Kanpur,medium,2026-09-16,2026-10-11,90,438.7,0,15,data.gov.in
TDMS-0034,TDMS,Traction Distribution,GZB-CNB,Ghaziabad - Kanpur,NCR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on Ghaziabad - Kanpur,critical,2026-09-12,2026-09-30,120,213.7,0,60,data.gov.in
TDMS-0035,TDMS,Traction Distribution,GZB-CNB,Ghaziabad - Kanpur,NCR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Ghaziabad - Kanpur,critical,2026-09-12,2026-09-29,90,1.9,2,45,data.gov.in
TMS-0036,TMS,Engineering,CNB-PRYJ,Kanpur - Prayagraj,NCR,SEJ Overhaul,Tongue and stock rail gap calibration for extreme thermal expansion on Kanpur - Prayagraj,high,2026-09-04,2026-09-26,165,128.1,2,30,data.gov.in
TMS-0037,TMS,Engineering,CNB-PRYJ,Kanpur - Prayagraj,NCR,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Kanpur - Prayagraj,medium,2026-09-08,2026-09-19,135,187.0,0,45,data.gov.in
TMS-0038,TMS,Engineering,CNB-PRYJ,Kanpur - Prayagraj,NCR,Level Crossing Paved Track Repair,Rubber pad renewal and check rail clearance at LC Gate on Kanpur - Prayagraj,medium,2026-09-16,2026-10-09,135,92.5,0,15,data.gov.in
SMMS-0039,SMMS,Signal & Telecom,CNB-PRYJ,Kanpur - Prayagraj,NCR,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on Kanpur - Prayagraj,high,2026-09-15,2026-10-09,90,14.0,0,60,data.gov.in
SMMS-0040,SMMS,Signal & Telecom,CNB-PRYJ,Kanpur - Prayagraj,NCR,Point Machine Motor Overhaul,143B Point machine stroke timing exceeded 5.2s threshold on Kanpur - Prayagraj,high,2026-08-30,2026-09-11,105,112.2,0,15,data.gov.in
TDMS-0041,TDMS,Traction Distribution,CNB-PRYJ,Kanpur - Prayagraj,NCR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Kanpur - Prayagraj,medium,2026-09-09,2026-09-20,75,129.6,1,30,data.gov.in
TDMS-0042,TDMS,Traction Distribution,CNB-PRYJ,Kanpur - Prayagraj,NCR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Kanpur - Prayagraj,high,2026-09-05,2026-09-14,120,130.0,1,60,data.gov.in
TDMS-0043,TDMS,Traction Distribution,CNB-PRYJ,Kanpur - Prayagraj,NCR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Kanpur - Prayagraj,medium,2026-09-15,2026-09-20,75,89.0,0,15,data.gov.in
TMS-0044,TMS,Engineering,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Prayagraj - Pt. Deen Dayal Upadhyaya,critical,2026-09-09,2026-09-18,90,141.9,0,30,data.gov.in
TMS-0045,TMS,Engineering,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,CMS Crossing Reconditioning,Trans-weld building up of battered nose on Cast Manganese Steel crossing on Prayagraj - Pt. Deen Dayal Upadhyaya,medium,2026-09-08,2026-09-18,135,67.2,1,15,data.gov.in
SMMS-0046,SMMS,Signal & Telecom,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,Point Machine Motor Overhaul,143B Point machine stroke timing exceeded 5.2s threshold on Prayagraj - Pt. Deen Dayal Upadhyaya,high,2026-09-13,2026-09-26,105,18.4,0,30,data.gov.in
SMMS-0047,SMMS,Signal & Telecom,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Prayagraj - Pt. Deen Dayal Upadhyaya,critical,2026-09-08,2026-10-02,75,32.8,1,30,data.gov.in
SMMS-0048,SMMS,Signal & Telecom,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Prayagraj - Pt. Deen Dayal Upadhyaya,critical,2026-09-01,2026-09-21,75,38.9,0,15,data.gov.in
TDMS-0049,TDMS,Traction Distribution,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Prayagraj - Pt. Deen Dayal Upadhyaya,high,2026-09-16,2026-09-21,120,51.4,0,45,data.gov.in
TDMS-0050,TDMS,Traction Distribution,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,Cantilever Assembly Replacement,Galvanized steel cantilever bracket corrosion detected during trolley inspection on Prayagraj - Pt. Deen Dayal Upadhyaya,high,2026-09-03,2026-09-25,105,107.6,0,15,data.gov.in
TDMS-0051,TDMS,Traction Distribution,PRYJ-DDU,Prayagraj - Pt. Deen Dayal Upadhyaya,NCR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Prayagraj - Pt. Deen Dayal Upadhyaya,medium,2026-09-13,2026-10-05,90,6.4,1,30,data.gov.in
TMS-0052,TMS,Engineering,AGC-GWL,Agra - Gwalior,NCR,Continuous Welded Rail Destressing,Thermal stress equalization on 60kg 90UTS welded rail for 160 kmph Vande Bharat on Agra - Gwalior,high,2026-09-16,2026-09-30,180,43.3,0,45,data.gov.in
TMS-0053,TMS,Engineering,AGC-GWL,Agra - Gwalior,NCR,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Agra - Gwalior,medium,2026-09-10,2026-09-18,135,42.0,2,30,data.gov.in
TMS-0054,TMS,Engineering,AGC-GWL,Agra - Gwalior,NCR,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Agra - Gwalior,medium,2026-09-12,2026-09-22,135,103.2,0,30,data.gov.in
SMMS-0055,SMMS,Signal & Telecom,AGC-GWL,Agra - Gwalior,NCR,Electronic Interlocking Diagnostic,Dual redundant EI system power supply unit card replacement on Agra - Gwalior,critical,2026-09-10,2026-09-23,90,19.5,0,60,data.gov.in
SMMS-0056,SMMS,Signal & Telecom,AGC-GWL,Agra - Gwalior,NCR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Agra - Gwalior,high,2026-09-02,2026-09-14,105,24.2,2,45,data.gov.in
SMMS-0057,SMMS,Signal & Telecom,AGC-GWL,Agra - Gwalior,NCR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Agra - Gwalior,critical,2026-09-10,2026-09-22,75,3.7,0,60,data.gov.in
TDMS-0058,TDMS,Traction Distribution,AGC-GWL,Agra - Gwalior,NCR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Agra - Gwalior,high,2026-09-15,2026-09-28,120,41.7,2,45,data.gov.in
TDMS-0059,TDMS,Traction Distribution,AGC-GWL,Agra - Gwalior,NCR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Agra - Gwalior,critical,2026-09-14,2026-09-27,90,21.7,1,15,data.gov.in
TDMS-0060,TDMS,Traction Distribution,AGC-GWL,Agra - Gwalior,NCR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Agra - Gwalior,medium,2026-09-04,2026-09-20,90,85.5,1,60,data.gov.in
TMS-0061,TMS,Engineering,CSMT-KYN,Mumbai CSMT - Kalyan,CR,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Mumbai CSMT - Kalyan,high,2026-08-30,2026-09-10,210,14.2,2,15,data.gov.in
TMS-0062,TMS,Engineering,CSMT-KYN,Mumbai CSMT - Kalyan,CR,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Mumbai CSMT - Kalyan,critical,2026-08-31,2026-09-11,90,19.9,0,45,data.gov.in
SMMS-0063,SMMS,Signal & Telecom,CSMT-KYN,Mumbai CSMT - Kalyan,CR,Point Machine Motor Overhaul,143B Point machine stroke timing exceeded 5.2s threshold on Mumbai CSMT - Kalyan,high,2026-09-08,2026-09-29,105,17.1,2,45,data.gov.in
SMMS-0064,SMMS,Signal & Telecom,CSMT-KYN,Mumbai CSMT - Kalyan,CR,Electronic Interlocking Diagnostic,Dual redundant EI system power supply unit card replacement on Mumbai CSMT - Kalyan,critical,2026-09-08,2026-09-30,90,7.6,2,60,data.gov.in
SMMS-0065,SMMS,Signal & Telecom,CSMT-KYN,Mumbai CSMT - Kalyan,CR,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on Mumbai CSMT - Kalyan,high,2026-08-30,2026-09-13,90,22.1,0,45,data.gov.in
TDMS-0066,TDMS,Traction Distribution,CSMT-KYN,Mumbai CSMT - Kalyan,CR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on Mumbai CSMT - Kalyan,critical,2026-09-04,2026-09-27,120,32.5,1,60,data.gov.in
TDMS-0067,TDMS,Traction Distribution,CSMT-KYN,Mumbai CSMT - Kalyan,CR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Mumbai CSMT - Kalyan,high,2026-09-03,2026-09-14,90,27.6,0,15,data.gov.in
TDMS-0068,TDMS,Traction Distribution,CSMT-KYN,Mumbai CSMT - Kalyan,CR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Mumbai CSMT - Kalyan,high,2026-09-01,2026-09-26,120,33.2,0,30,data.gov.in
TMS-0069,TMS,Engineering,KYN-PUNE,Kalyan - Pune,CR,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Kalyan - Pune,medium,2026-09-11,2026-09-20,135,4.3,0,60,data.gov.in
TMS-0070,TMS,Engineering,KYN-PUNE,Kalyan - Pune,CR,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on Kalyan - Pune,high,2026-09-15,2026-10-04,120,57.4,0,60,data.gov.in
TMS-0071,TMS,Engineering,KYN-PUNE,Kalyan - Pune,CR,Bridge Bearing Inspection & Greasing,Girder seating rocker-roller bearing lubrication on Kalyan - Pune,medium,2026-09-05,2026-09-17,120,21.1,0,15,data.gov.in
SMMS-0072,SMMS,Signal & Telecom,KYN-PUNE,Kalyan - Pune,CR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Kalyan - Pune,high,2026-09-12,2026-10-03,90,64.2,0,15,data.gov.in
SMMS-0073,SMMS,Signal & Telecom,KYN-PUNE,Kalyan - Pune,CR,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Kalyan - Pune,medium,2026-09-13,2026-10-02,90,91.8,1,60,data.gov.in
SMMS-0074,SMMS,Signal & Telecom,KYN-PUNE,Kalyan - Pune,CR,Electronic Interlocking Diagnostic,Dual redundant EI system power supply unit card replacement on Kalyan - Pune,critical,2026-08-31,2026-09-19,90,123.0,2,60,data.gov.in
TDMS-0075,TDMS,Traction Distribution,KYN-PUNE,Kalyan - Pune,CR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on Kalyan - Pune,critical,2026-09-09,2026-09-30,120,66.9,0,45,data.gov.in
TDMS-0076,TDMS,Traction Distribution,KYN-PUNE,Kalyan - Pune,CR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Kalyan - Pune,high,2026-09-15,2026-09-29,90,32.9,1,45,data.gov.in
TDMS-0077,TDMS,Traction Distribution,KYN-PUNE,Kalyan - Pune,CR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Kalyan - Pune,medium,2026-09-13,2026-09-22,90,32.5,0,30,data.gov.in
TMS-0078,TMS,Engineering,KYN-BSL,Kalyan - Bhusawal,CR,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Kalyan - Bhusawal,high,2026-09-04,2026-09-19,210,210.4,2,15,data.gov.in
TMS-0079,TMS,Engineering,KYN-BSL,Kalyan - Bhusawal,CR,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on Kalyan - Bhusawal,medium,2026-09-04,2026-09-21,135,350.3,0,60,data.gov.in
SMMS-0080,SMMS,Signal & Telecom,KYN-BSL,Kalyan - Bhusawal,CR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Kalyan - Bhusawal,high,2026-09-06,2026-09-20,105,291.8,2,30,data.gov.in
SMMS-0081,SMMS,Signal & Telecom,KYN-BSL,Kalyan - Bhusawal,CR,Level Crossing Boom Barrier Overhaul,Electric lifting barrier clutch mechanism alignment on Kalyan - Bhusawal,medium,2026-09-10,2026-09-23,90,169.2,0,60,data.gov.in
SMMS-0082,SMMS,Signal & Telecom,KYN-BSL,Kalyan - Bhusawal,CR,Automatic Signaling Aspect Renewal,Signal LED cluster degradation on home signal aspect on Kalyan - Bhusawal,high,2026-09-05,2026-09-15,60,325.4,0,15,data.gov.in
TDMS-0083,TDMS,Traction Distribution,KYN-BSL,Kalyan - Bhusawal,CR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Kalyan - Bhusawal,critical,2026-09-15,2026-10-10,90,166.4,2,30,data.gov.in
TDMS-0084,TDMS,Traction Distribution,KYN-BSL,Kalyan - Bhusawal,CR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on Kalyan - Bhusawal,critical,2026-09-09,2026-09-26,90,127.4,2,45,data.gov.in
TDMS-0085,TDMS,Traction Distribution,KYN-BSL,Kalyan - Bhusawal,CR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Kalyan - Bhusawal,medium,2026-09-05,2026-09-18,75,291.3,2,45,data.gov.in
TMS-0086,TMS,Engineering,NGP-WR,Nagpur - Wardha,CR,Bridge Bearing Inspection & Greasing,Girder seating rocker-roller bearing lubrication on Nagpur - Wardha,medium,2026-09-17,2026-10-09,120,5.0,1,30,data.gov.in
TMS-0087,TMS,Engineering,NGP-WR,Nagpur - Wardha,CR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Nagpur - Wardha,critical,2026-09-16,2026-09-21,150,74.1,0,15,data.gov.in
SMMS-0088,SMMS,Signal & Telecom,NGP-WR,Nagpur - Wardha,CR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on Nagpur - Wardha,high,2026-09-13,2026-10-03,90,52.5,0,60,data.gov.in
SMMS-0089,SMMS,Signal & Telecom,NGP-WR,Nagpur - Wardha,CR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Nagpur - Wardha,critical,2026-09-06,2026-09-16,75,47.7,0,30,data.gov.in
TDMS-0090,TDMS,Traction Distribution,NGP-WR,Nagpur - Wardha,CR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on Nagpur - Wardha,medium,2026-08-30,2026-09-04,90,72.5,2,60,data.gov.in
TDMS-0091,TDMS,Traction Distribution,NGP-WR,Nagpur - Wardha,CR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on Nagpur - Wardha,critical,2026-09-15,2026-10-08,120,54.2,0,15,data.gov.in
TDMS-0092,TDMS,Traction Distribution,NGP-WR,Nagpur - Wardha,CR,Catenary Wire Tension Regulation,Auto-tensioning device pulley weight travel check before winter on Nagpur - Wardha,high,2026-09-14,2026-10-07,120,61.3,1,60,data.gov.in
TMS-0093,TMS,Engineering,MMCT-BVI,Mumbai Central - Borivali,WR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Mumbai Central - Borivali,critical,2026-09-01,2026-09-26,150,11.9,2,60,data.gov.in
TMS-0094,TMS,Engineering,MMCT-BVI,Mumbai Central - Borivali,WR,Thermit Weld Renewal,AT Weld defective Ultrasonic signal at Rail Joint needing crop & re-weld on Mumbai Central - Borivali,critical,2026-09-04,2026-09-20,150,21.3,2,30,data.gov.in
TMS-0095,TMS,Engineering,MMCT-BVI,Mumbai Central - Borivali,WR,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Mumbai Central - Borivali,high,2026-09-12,2026-10-03,210,31.9,1,60,data.gov.in
SMMS-0096,SMMS,Signal & Telecom,MMCT-BVI,Mumbai Central - Borivali,WR,Electronic Interlocking Diagnostic,Dual redundant EI system power supply unit card replacement on Mumbai Central - Borivali,critical,2026-08-30,2026-09-12,90,11.3,0,15,data.gov.in
SMMS-0097,SMMS,Signal & Telecom,MMCT-BVI,Mumbai Central - Borivali,WR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Mumbai Central - Borivali,critical,2026-09-03,2026-09-15,75,25.0,2,45,data.gov.in
SMMS-0098,SMMS,Signal & Telecom,MMCT-BVI,Mumbai Central - Borivali,WR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on Mumbai Central - Borivali,high,2026-09-02,2026-09-17,105,6.8,0,45,data.gov.in
TDMS-0099,TDMS,Traction Distribution,MMCT-BVI,Mumbai Central - Borivali,WR,Dropper Replacement & Height Adjustment,Current carrying copper flexible dropper frayed near mast on Mumbai Central - Borivali,medium,2026-09-09,2026-10-03,75,23.4,1,15,data.gov.in
TDMS-0100,TDMS,Traction Distribution,MMCT-BVI,Mumbai Central - Borivali,WR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on Mumbai Central - Borivali,critical,2026-09-15,2026-09-27,120,24.0,2,30,data.gov.in
TDMS-0101,TDMS,Traction Distribution,MMCT-BVI,Mumbai Central - Borivali,WR,OHE Contact Wire Profile Measurement,Laser pantograph contact wire height and stagger recording on Mumbai Central - Borivali,high,2026-09-02,2026-09-21,90,26.4,0,45,data.gov.in
TMS-0102,TMS,Engineering,BVI-ST,Borivali - Surat,WR,Deep Ballast Screening & Tamping,Ballast cleaning machine deployment to restore track elasticity on Borivali - Surat,high,2026-09-10,2026-09-24,210,152.4,1,60,data.gov.in
TMS-0103,TMS,Engineering,BVI-ST,Borivali - Surat,WR,Rail Flaw Ultrasonic Testing,USFD detected transverse fatigue crack in rail head on Borivali - Surat,critical,2026-09-01,2026-09-17,90,98.0,1,45,data.gov.in
SMMS-0104,SMMS,Signal & Telecom,BVI-ST,Borivali - Surat,WR,Axle Counter Sensor Recalibration,Multi-section digital axle counter wheel sensor gain drifted on Borivali - Surat,critical,2026-09-08,2026-09-21,75,53.6,0,45,data.gov.in
